match_id,date,team1,team2,winner,venue,player_of_match,runs_team1,runs_team2,wickets_team1,wickets_team2
1,2025-05-06,Australia,India,Australia,Kolkata,Mitchell Starc,237,205,3,6
2,2025-04-22,India,Bangladesh,Bangladesh,Mumbai,Litton Das,239,299,2,10
3,2025-10-29,Sri Lanka,Australia,Sri Lanka,Melbourne,Pathum Nissanka,251,171,4,8
4,2025-02-22,England,Australia,Australia,Hyderabad,Travis Head,203,267,8,7
5,2025-10-02,India,New Zealand,New Zealand,Melbourne,Devon Conway,211,266,8,10
6,2025-01-24,Pakistan,New Zealand,Pakistan,Mumbai,Shaheen Afridi,349,228,6,3
7,2025-08-21,Australia,Pakistan,Australia,Kolkata,Travis Head,342,263,4,7
8,2025-12-26,Pakistan,New Zealand,Pakistan,Kolkata,Shaheen Afridi,345,188,4,7
9,2025-11-24,Bangladesh,Pakistan,Bangladesh,Kolkata,Litton Das,322,226,7,2
10,2025-07-25,India,Sri Lanka,India,Hyderabad,Shubman Gill,248,186,5,7
11,2025-03-15,Sri Lanka,New Zealand,Sri Lanka,Melbourne,Pathum Nissanka,247,205,5,10
12,2025-07-05,Sri Lanka,South Africa,Sri Lanka,Sydney,Kusal Mendis,236,205,10,6
13,2025-12-15,Australia,Bangladesh,Bangladesh,Delhi,Najmul Hossain,288,322,3,8
14,2025-10-11,Bangladesh,South Africa,South Africa,Kolkata,Aiden Markram,182,344,8,10
15,2025-03-22,Australia,England,Australia,Sydney,Steve Smith,296,170,6,7
16,2025-11-08,South Africa,Sri Lanka,South Africa,London,Temba Bavuma,230,209,7,10
17,2025-02-27,New Zealand,Pakistan,New Zealand,Chennai,Trent Boult,272,248,5,2
18,2025-02-05,Australia,India,Australia,Melbourne,Pat Cummins,316,202,4,10
19,2025-08-05,South Africa,Bangladesh,Bangladesh,Cape Town,Najmul Hossain,234,308,5,6
20,2025-08-20,New Zealand,Pakistan,Pakistan,London,Babar Azam,210,233,8,3
21,2025-01-04,Pakistan,South Africa,South Africa,Bengaluru,Temba Bavuma,198,331,6,5
22,2025-05-02,New Zealand,India,India,London,Rohit Sharma,251,341,9,5
23,2025-07-28,Bangladesh,Australia,Bangladesh,Melbourne,Najmul Hossain,228,194,3,8
24,2025-12-11,Sri Lanka,Pakistan,Sri Lanka,Chennai,Maheesh Theekshana,347,335,3,2
25,2025-05-08,New Zealand,Sri Lanka,New Zealand,Mumbai,Tom Latham,229,218,10,7
26,2025-05-08,England,Bangladesh,Bangladesh,Melbourne,Shakib Al Hasan,199,283,6,3
27,2025-03-27,Australia,Sri Lanka,Sri Lanka,Bengaluru,Maheesh Theekshana,284,294,9,5
28,2025-01-02,India,Australia,India,Sydney,Shubman Gill,279,237,9,6
29,2025-06-01,Bangladesh,Australia,Bangladesh,Bengaluru,Shakib Al Hasan,235,184,10,8
30,2025-09-15,India,South Africa,India,Melbourne,Rohit Sharma,315,210,2,6
31,2025-12-12,Australia,South Africa,South Africa,Mumbai,Temba Bavuma,240,273,3,5
32,2025-10-17,Australia,Pakistan,Australia,Cape Town,Travis Head,313,250,6,5
33,2025-03-09,Pakistan,England,Pakistan,Sydney,Babar Azam,345,246,9,7
34,2025-10-16,India,Pakistan,India,Cape Town,Rohit Sharma,205,188,10,8
35,2025-07-09,New Zealand,India,New Zealand,Bengaluru,Kane Williamson,252,210,9,8
36,2025-03-10,South Africa,New Zealand,South Africa,Mumbai,Aiden Markram,247,199,3,7
37,2025-06-25,South Africa,Bangladesh,Bangladesh,Bengaluru,Najmul Hossain,232,345,6,10
38,2025-02-17,South Africa,Sri Lanka,South Africa,Chennai,Temba Bavuma,342,278,6,2
39,2025-11-23,New Zealand,Sri Lanka,New Zealand,Delhi,Kane Williamson,247,211,9,9
40,2025-10-07,Australia,India,India,Delhi,Rohit Sharma,189,264,9,4
41,2025-01-21,India,England,India,Hyderabad,Jasprit Bumrah,271,223,5,3
42,2025-05-02,Sri Lanka,South Africa,Sri Lanka,Delhi,Pathum Nissanka,221,215,8,7
43,2025-05-17,Sri Lanka,Bangladesh,Sri Lanka,Bengaluru,Wanindu Hasaranga,220,197,8,9
44,2025-06-29,Pakistan,Sri Lanka,Pakistan,Melbourne,Shaheen Afridi,258,228,5,2
45,2025-02-05,Sri Lanka,England,England,Kolkata,Jos Buttler,251,259,10,8
46,2025-04-02,India,Bangladesh,India,Kolkata,Shubman Gill,328,237,2,3
47,2025-08-12,New Zealand,Bangladesh,New Zealand,Hyderabad,Trent Boult,335,300,3,8
48,2025-01-01,South Africa,India,South Africa,Sydney,Quinton de Kock,313,307,5,7
